meeting_date,title,window_start,n_speeches_in_window,statement_index,avg_speech_index,contrib_statement,contrib_speech,combined_index
1999-10-13,1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,,0,0.6286,,0.6286,0.0,0.6286
1999-10-13,"1999-10-13: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the inaugural meeting of the Monetary Policy Committee (MPC)",1999-10-13,0,0.7879,,0.7879,0.0,0.7879
1999-11-24,"1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",1999-10-13,1,0.5581,0.2796,0.2791,0.1398,0.4189
1999-11-24,"1999-11-24: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the second meeting of the Monetary Policy Committee (MPC), Pretoria",1999-11-24,0,0.5263,,0.5263,0.0,0.5263
2000-01-13,2000-01-13: Statement of the Monetary Policy Committee : detailed assessment of changes in general economic conditions,1999-11-24,0,1.0435,,1.0435,0.0,1.0435
2000-02-22,2000-02-22: Postponement of the Monetary Policy Committee Meeting,2000-01-13,0,0.0,,0.0,0.0,0.0
2000-03-02,2000-03-02: Statement of the Monetary Policy Committee : main conclusions,2000-02-22,0,0.9302,,0.9302,0.0,0.9302
2000-03-20,2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,2000-03-02,1,1.1304,0.95,0.5652,0.475,1.0402
2000-04-06,2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,2000-03-20,1,0.7974,0.95,0.3987,0.475,0.8737
2000-05-19,2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,2000-04-06,1,1.0515,0.9714,0.5258,0.4857,1.0114
2000-06-15,2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,2000-05-19,0,0.5688,,0.5688,0.0,0.5688
2000-08-11,2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,2000-06-15,1,0.9053,1.0526,0.4526,0.5263,0.9789
2000-09-21,2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,2000-08-11,0,0.7213,,0.7213,0.0,0.7213
2000-10-16,2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,2000-09-21,1,1.2727,0.9213,0.6363,0.4607,1.097
