meeting_date,title,window_start,n_speeches_in_window,statement_index,avg_speech_index,contrib_statement,contrib_speech,combined_index
1999-10-13,1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,,0,-0.3,,-0.3,0.0,-0.3
1999-10-13,1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,1999-10-13,0,-0.7,,-0.7,0.0,-0.7
1999-11-24,"1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",1999-10-13,0,-0.7,,-0.7,0.0,-0.7
1999-11-24,"1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",1999-11-24,0,-0.7,,-0.7,0.0,-0.7
2000-01-13,2000-01-13: Statement of the Monetary Policy Committee : detailed assessment of changes in general economic conditions,1999-11-24,0,-0.7,,-0.7,0.0,-0.7
2000-02-22,2000-02-22: Postponement of the Monetary Policy Committee Meeting,2000-01-13,0,0.0,,0.0,0.0,0.0
2000-03-02,2000-03-02: Statement of the Monetary Policy Committee : main conclusions,2000-02-22,0,0.3,,0.3,0.0,0.3
2000-03-20,2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,2000-03-02,1,-0.3,0.6,-0.15,0.3,0.15
2000-04-06,2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,2000-03-20,1,0.3,0.5,0.15,0.25,0.4
2000-05-19,2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,2000-04-06,1,0.3,0.3,0.15,0.15,0.3
2000-06-15,2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,2000-05-19,0,0.2,,0.2,0.0,0.2
2000-08-11,2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,2000-06-15,1,-0.3,0.1,-0.15,0.05,-0.1
2000-09-21,2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,2000-08-11,0,0.2,,0.2,0.0,0.2
2000-10-16,2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,2000-09-21,0,1.2,,1.2,0.0,1.2
2000-11-16,2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,2000-10-16,1,0.3,0.1,0.15,0.05,0.2
2001-01-19,2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,2000-11-16,0,0.1,,0.1,0.0,0.1
2001-03-16,2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,2001-01-19,1,0.1,0.3,0.05,0.15,0.2
2001-04-25,2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,2001-03-16,1,-0.3,0.1,-0.15,0.05,-0.1
2001-06-14,2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,2001-04-25,0,-1.8,,-1.8,0.0,-1.8
2001-07-26,2001-07-26: Statement of the Monetary Policy Committee : made a detailed analysis of recent economic developments to decide on the most appropriate monetary policy stance,2001-06-14,1,-0.6,-0.8,-0.3,-0.4,-0.7
2001-09-20,2001-09-20: Statement of the Monetary Policy Committee : evaluated the monetary policy stance,2001-07-26,2,-1.2,0.0,-0.4,0.0,-0.4
2001-11-15,2001-11-15: Statement of the Monetary Policy Committee : assessed recent international and domestic economic developments to decide on the appropriate monetary policy stance.,2001-09-20,1,-0.5,0.3,-0.25,0.15,-0.1
2002-01-15,2002-01-15: Statement of the Monetary Policy Committee: to discuss the appropriate monetary policy stance in view of the effects of recent economic developments on the outlook for inflation,2001-11-15,1,1.7,0.2,0.85,0.1,0.95
2002-03-14,2002-03-14: Statement of the Monetary Policy Committee,2002-01-15,1,1.8,0.2,0.9,0.1,1.0
2002-06-13,2002-06-13: Statement of the Monetary Policy Committee,2002-03-14,0,1.9,,1.9,0.0,1.9
2002-09-12,2002-09-12: Statement of the Monetary Policy Committee,2002-06-13,0,1.7,,1.7,0.0,1.7
2002-11-28,2002-11-28: Statement of the Monetary Policy Committee,2002-09-12,0,0.8,,0.8,0.0,0.8
2003-03-20,2003-03-20: Statement of the Monetary Policy Committee,2002-11-28,0,0.8,,0.8,0.0,0.8
2003-06-12,2003-06-12: Statement of the Monetary Policy Committee,2003-03-20,0,-1.5,,-1.5,0.0,-1.5
2003-08-14,2003-08-14: Statement of the Monetary Policy Committee,2003-06-12,0,-1.2,,-1.2,0.0,-1.2
2003-09-10,2003-09-10: Statement of the Monetary Policy Committee,2003-08-14,1,-1.5,-0.8,-0.75,-0.4,-1.15
2003-10-16,2003-10-16: Statement of the Monetary Policy Committee,2003-09-10,0,-1.7,,-1.7,0.0,-1.7
2003-12-11,2003-12-11: Statement of the Monetary Policy Committee,2003-10-16,0,-0.8,,-0.8,0.0,-0.8
2004-02-26,2004-02-26: Statement of the Monetary Policy Committee,2003-12-11,0,0.2,,0.2,0.0,0.2
2004-04-22,2004-04-22: Statement of the Monetary Policy Committee,2004-02-26,0,0.1,,0.1,0.0,0.1
2004-06-10,2004-06-10: Statement of the Monetary Policy Committee,2004-04-22,0,0.3,,0.3,0.0,0.3
2004-08-12,2004-08-12: Statement of the Monetary Policy Committee,2004-06-10,2,-1.2,0.2,-0.4,0.1333,-0.2667
2004-10-14,2004-10-14: Statement of the Monetary Policy Committee,2004-08-12,0,0.3,,0.3,0.0,0.3
2004-12-09,2004-12-09: Statement of the Monetary Policy Committee,2004-10-14,0,0.2,,0.2,0.0,0.2
2005-02-10,2005-02-10: Statement of the Monetary Policy Committee,2004-12-09,0,0.2,,0.2,0.0,0.2
2005-04-14,2005-04-14: Statement of the Monetary Policy Committee,2005-02-10,0,-1.2,,-1.2,0.0,-1.2
2005-06-09,2005-06-09: Statement of the Monetary Policy Committee,2005-04-14,0,0.1,,0.1,0.0,0.1
2005-08-11,2005-08-11: Statement of the Monetary Policy Committee,2005-06-09,2,0.3,-0.6,0.1,-0.4,-0.3
2005-10-13,2005-10-13: Statement of the Monetary Policy Committee,2005-08-11,0,0.6,,0.6,0.0,0.6
2005-12-08,2005-12-08: Statement of the Monetary Policy Committee,2005-10-13,2,0.2,0.3,0.0667,0.2,0.2667
2006-02-02,2006-02-02: Statement of the Monetary Policy Committee,2005-12-08,0,0.3,,0.3,0.0,0.3
2006-04-13,2006-04-13: Statement of the Monetary Policy Committee,2006-02-02,0,0.3,,0.3,0.0,0.3
2006-06-08,2006-06-08: Statement of the Monetary Policy Committee,2006-04-13,0,1.3,,1.3,0.0,1.3
2006-08-03,2006-08-03: Statement of the Monetary Policy Committee,2006-06-08,0,1.7,,1.7,0.0,1.7
2006-10-12,2006-10-12: Statement of the Monetary Policy Committee,2006-08-03,4,1.8,1.075,0.36,0.86,1.22
2006-12-07,2006-12-07: Statement of the Monetary Policy Committee,2006-10-12,6,1.3,0.8667,0.1857,0.7429,0.9286
2007-02-15,2007-02-15: Statement of the Monetary Policy Committee,2006-12-07,2,0.3,0.25,0.1,0.1667,0.2667
2007-04-12,2007-04-12: Statement of the Monetary Policy Committee,2007-02-15,1,0.7,0.3,0.35,0.15,0.5
2007-06-07,2007-06-07: Statement of the Monetary Policy Committee,2007-04-12,1,1.8,0.3,0.9,0.15,1.05
2007-08-16,2007-08-16: Statement of the Monetary Policy Committee,2007-06-07,2,1.7,0.95,0.5667,0.6333,1.2
2007-10-11,2007-10-11: Statement of the Monetary Policy Committee,2007-08-16,4,1.7,0.4,0.34,0.32,0.66
