meeting_date,title,regex_rate,regex_action,series_before_rate,series_after_rate,series_action,series_change_bps,rate_match,action_match,note
2000-02-22,2000-02-22: Postponement of the Monetary Policy Committee Meeting,,,,,,,,,sem_cobertura_da_serie
2000-03-02,2000-03-02: Statement of the Monetary Policy Committee : main conclusions,,,,,,,,,sem_cobertura_da_serie
2000-03-20,2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,,,,,,,,,sem_cobertura_da_serie
2000-04-06,2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,,hold,,,,,,,sem_cobertura_da_serie
2000-05-19,2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,,,,,,,,,sem_cobertura_da_serie
2000-06-15,2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2000-08-11,2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2000-09-21,2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2000-10-16,2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,,hike,,,,,,,sem_cobertura_da_serie
2000-11-16,2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2001-01-19,2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,,,,,,,,,sem_cobertura_da_serie
2001-03-16,2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2001-04-25,2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2001-06-14,2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,,,,,,,,,sem_cobertura_da_serie
2001-07-26,2001-07-26: Statement of the Monetary Policy Committee : made a detailed analysis of recent economic developments to decide on the most appropriate monetary policy stance,,cut,,,,,,,sem_cobertura_da_serie
2001-09-20,2001-09-20: Statement of the Monetary Policy Committee : evaluated the monetary policy stance,9.5,cut,,,,,,,sem_cobertura_da_serie
2001-11-15,2001-11-15: Statement of the Monetary Policy Committee : assessed recent international and domestic economic developments to decide on the appropriate monetary policy stance.,,,,,,,,,sem_cobertura_da_serie
2002-01-15,2002-01-15: Statement of the Monetary Policy Committee: to discuss the appropriate monetary policy stance in view of the effects of recent economic developments on the outlook for inflation,,,9.5,10.5,hike,100,,False,
2002-03-14,2002-03-14: Statement of the Monetary Policy Committee,,,10.5,11.5,hike,100,,False,
2002-06-13,2002-06-13: Statement of the Monetary Policy Committee,,hike,11.5,12.5,hike,100,,True,
2002-09-12,2002-09-12: Statement of the Monetary Policy Committee,,hike,12.5,13.5,hike,100,,True,
