meeting_date,title,policy_rate_final,rate_action_final,in_scope_inflation_targeting,henry_index,henry_hawkish_count,henry_dovish_count,henry_total_words,henry_hawkish_hits,henry_dovish_hits
1999-10-13,1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,,,False,0.6286,92,48,3585,"{""improved"": 10, ""more"": 14, ""growth"": 22, ""strong"": 2, ""increase"": 8, ""positive"": 2, ""up"": 2, ""rise"": 8, ""increased"": 10, ""higher"": 2, ""expanded"": 2, ""rising"": 2, ""larger"": 2, ""rose"": 2, ""risen"": 2, ""improvements"": 2}","{""less"": 2, ""falling"": 2, ""low"": 4, ""negative"": 2, ""down"": 4, ""declined"": 4, ""decline"": 10, ""lower"": 4, ""declining"": 8, ""weak"": 4, ""decreased"": 2, ""dropped"": 2}"
1999-10-13,"1999-10-13: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the inaugural meeting of the Monetary Policy Committee (MPC)",,,False,0.7879,46,20,2263,"{""better"": 2, ""certain"": 2, ""good"": 2, ""more"": 2, ""growth"": 16, ""risen"": 4, ""high"": 2, ""rise"": 2, ""rising"": 2, ""higher"": 2, ""up"": 6, ""increased"": 2, ""rose"": 2}","{""down"": 2, ""dropped"": 2, ""declined"": 2, ""weakened"": 2, ""fallen"": 6, ""falling"": 2, ""below"": 2, ""weak"": 2}"
1999-11-24,"1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",,,False,0.5581,110,62,3848,"{""growth"": 20, ""high"": 2, ""increase"": 16, ""most"": 4, ""higher"": 4, ""opportunities"": 2, ""up"": 2, ""rise"": 6, ""positive"": 2, ""more"": 12, ""good"": 2, ""increased"": 6, ""rose"": 4, ""rising"": 4, ""increases"": 2, ""improved"": 6, ""grow"": 2, ""above"": 6, ""progress"": 4, ""improvements"": 2, ""improvement"": 2}","{""decline"": 18, ""under"": 2, ""low"": 6, ""challenge"": 2, ""decrease"": 6, ""down"": 4, ""declined"": 6, ""smaller"": 4, ""lower"": 2, ""dropped"": 2, ""fall"": 2, ""below"": 2, ""risk"": 2, ""decreased"": 2, ""less"": 2}"
1999-11-24,"1999-11-24: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the second meeting of the Monetary Policy Committee (MPC), Pretoria",,,False,0.5263,24,14,1600,"{""most"": 2, ""better"": 2, ""increases"": 2, ""growth"": 10, ""encouraging"": 2, ""positive"": 2, ""up"": 2, ""strongest"": 2}","{""falling"": 2, ""fall"": 2, ""decline"": 4, ""risks"": 2, ""declining"": 2, ""down"": 2}"
2000-01-13,2000-01-13: Statement of the Monetary Policy Committee : detailed assessment of changes in general economic conditions,,,False,1.0435,140,44,4178,"{""improved"": 8, ""growth"": 18, ""higher"": 4, ""increased"": 6, ""above"": 4, ""improvement"": 6, ""rise"": 12, ""increase"": 30, ""rising"": 2, ""increasing"": 6, ""rose"": 10, ""increases"": 12, ""high"": 2, ""more"": 4, ""most"": 6, ""strong"": 2, ""strengthened"": 2, ""positive"": 4, ""successful"": 2}","{""under"": 2, ""low"": 4, ""declined"": 8, ""decreases"": 2, ""fall"": 2, ""below"": 6, ""decline"": 4, ""decreased"": 6, ""depressed"": 2, ""less"": 2, ""lower"": 2, ""deteriorated"": 2, ""smaller"": 2}"
2000-02-22,2000-02-22: Postponement of the Monetary Policy Committee Meeting,,,True,0.0,0,0,251,{},{}
2000-03-02,2000-03-02: Statement of the Monetary Policy Committee : main conclusions,,,True,0.9302,126,46,4068,"{""positive"": 4, ""growth"": 16, ""most"": 2, ""increased"": 26, ""rising"": 2, ""higher"": 8, ""up"": 6, ""above"": 2, ""more"": 12, ""rose"": 8, ""increases"": 6, ""increase"": 16, ""rise"": 4, ""strengthening"": 2, ""high"": 4, ""record"": 2, ""improved"": 4, ""strength"": 2}","{""below"": 2, ""fallen"": 2, ""under"": 4, ""lower"": 4, ""declined"": 6, ""decline"": 10, ""depressed"": 2, ""low"": 10, ""down"": 4, ""declining"": 2}"
2000-03-20,2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,,,True,1.1304,36,10,1198,"{""growing"": 2, ""grew"": 2, ""exceeded"": 2, ""high"": 6, ""more"": 4, ""increase"": 2, ""grow"": 2, ""growth"": 6, ""improve"": 2, ""positive"": 2, ""record"": 2, ""certain"": 2, ""certainty"": 2}","{""decline"": 2, ""lower"": 2, ""negative"": 4, ""deteriorating"": 2}"
2000-04-06,2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,,hold,True,0.7974,214,92,6260,"{""growth"": 42, ""positive"": 4, ""high"": 32, ""increase"": 24, ""improve"": 4, ""higher"": 12, ""good"": 4, ""above"": 4, ""rose"": 4, ""up"": 2, ""more"": 20, ""best"": 2, ""increases"": 22, ""increased"": 4, ""rising"": 6, ""expansion"": 2, ""expand"": 2, ""strengthened"": 2, ""record"": 2, ""rise"": 2, ""strong"": 2, ""achievement"": 4, ""achieved"": 6, ""leading"": 2, ""certain"": 2, ""definite"": 2}","{""low"": 12, ""negative"": 4, ""down"": 6, ""weakened"": 6, ""declined"": 14, ""decline"": 6, ""less"": 6, ""deteriorated"": 2, ""under"": 4, ""fell"": 2, ""decreased"": 2, ""uncertainty"": 2, ""failure"": 4, ""fail"": 4, ""risk"": 4, ""uncertain"": 4, ""fall"": 2, ""difficult"": 4, ""risks"": 4}"
2000-05-19,2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,,,True,1.0515,148,46,4137,"{""strong"": 8, ""growth"": 24, ""rise"": 6, ""rising"": 8, ""higher"": 12, ""increased"": 10, ""good"": 6, ""record"": 2, ""high"": 2, ""expanded"": 2, ""increases"": 10, ""rose"": 8, ""increase"": 16, ""up"": 8, ""strengthened"": 2, ""more"": 8, ""better"": 2, ""strength"": 2, ""improvements"": 2, ""best"": 2, ""solid"": 2, ""progress"": 2, ""stronger"": 2, ""above"": 2}","{""decline"": 8, ""low"": 6, ""decreases"": 2, ""weak"": 2, ""down"": 4, ""declined"": 4, ""declining"": 2, ""fell"": 2, ""weakening"": 2, ""decreased"": 4, ""less"": 2, ""under"": 2, ""lower"": 2, ""decrease"": 2, ""risk"": 2}"
2000-06-15,2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,,,True,0.5688,140,78,4079,"{""growth"": 40, ""leading"": 2, ""increase"": 12, ""higher"": 8, ""rose"": 6, ""increased"": 8, ""strong"": 4, ""increases"": 16, ""most"": 4, ""rising"": 2, ""high"": 6, ""improved"": 2, ""good"": 2, ""rise"": 6, ""expanded"": 2, ""up"": 8, ""strength"": 2, ""more"": 2, ""above"": 4, ""increasing"": 2, ""positive"": 2}","{""down"": 6, ""decline"": 10, ""declining"": 2, ""declined"": 20, ""lower"": 12, ""decrease"": 2, ""weakened"": 4, ""fall"": 2, ""below"": 2, ""smaller"": 6, ""low"": 2, ""under"": 4, ""weakness"": 4, ""risks"": 2}"
2000-08-11,2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,,,True,0.9053,138,52,3746,"{""growth"": 22, ""improved"": 4, ""strong"": 12, ""rose"": 6, ""increases"": 6, ""more"": 8, ""higher"": 2, ""above"": 8, ""grew"": 4, ""stronger"": 2, ""improve"": 2, ""increase"": 20, ""expanded"": 2, ""grown"": 2, ""solid"": 2, ""expand"": 2, ""increased"": 12, ""up"": 2, ""positive"": 4, ""rising"": 2, ""increasing"": 2, ""strengthened"": 2, ""high"": 2, ""improvement"": 4, ""leading"": 2, ""rise"": 2}","{""under"": 2, ""weak"": 4, ""declined"": 16, ""lower"": 4, ""decline"": 2, ""least"": 2, ""low"": 6, ""depressed"": 2, ""decrease"": 2, ""deteriorated"": 4, ""falling"": 2, ""below"": 4, ""down"": 2}"
2000-09-21,2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,,,True,0.7213,166,78,3943,"{""increase"": 42, ""increases"": 8, ""above"": 2, ""growth"": 34, ""rise"": 6, ""most"": 6, ""up"": 12, ""grew"": 4, ""stronger"": 4, ""leading"": 2, ""increased"": 10, ""higher"": 4, ""improvement"": 2, ""rising"": 2, ""strong"": 2, ""more"": 4, ""expansion"": 2, ""high"": 6, ""larger"": 2, ""rose"": 4, ""strengthened"": 2, ""strength"": 2, ""improved"": 4}","{""falling"": 2, ""below"": 2, ""low"": 8, ""down"": 4, ""less"": 2, ""decline"": 10, ""weak"": 2, ""difficult"": 4, ""declining"": 4, ""declines"": 4, ""declined"": 16, ""lower"": 4, ""uncertainty"": 2, ""smaller"": 2, ""decrease"": 6, ""under"": 2, ""weakness"": 4}"
2000-10-16,2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,,hike,True,1.2727,18,4,635,"{""high"": 4, ""strength"": 2, ""increases"": 4, ""higher"": 2, ""increase"": 6}","{""risk"": 2, ""under"": 2}"
2000-11-16,2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,,,True,0.8679,152,60,3963,"{""above"": 2, ""increase"": 26, ""higher"": 4, ""increased"": 14, ""rose"": 16, ""growth"": 30, ""high"": 8, ""most"": 4, ""increases"": 12, ""rise"": 8, ""up"": 6, ""strong"": 4, ""more"": 8, ""positive"": 4, ""stronger"": 2, ""leading"": 2, ""improvement"": 2}","{""uncertainty"": 2, ""down"": 6, ""decline"": 6, ""downturn"": 2, ""negative"": 2, ""under"": 4, ""lower"": 6, ""below"": 4, ""decreased"": 4, ""low"": 6, ""declining"": 2, ""declined"": 8, ""weakening"": 2, ""less"": 2, ""weakness"": 2, ""risks"": 2}"
2001-01-19,2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,,,True,0.7107,164,78,4391,"{""more"": 4, ""growth"": 40, ""record"": 4, ""increase"": 26, ""highest"": 2, ""strengthening"": 2, ""increasing"": 2, ""high"": 10, ""achievement"": 2, ""higher"": 12, ""most"": 2, ""better"": 2, ""improvement"": 4, ""positive"": 6, ""strong"": 8, ""rise"": 10, ""leading"": 2, ""greater"": 2, ""strengthen"": 2, ""improvements"": 2, ""risen"": 2, ""up"": 2, ""above"": 4, ""rose"": 6, ""increased"": 2, ""encouraging"": 2, ""increases"": 2}","{""declined"": 14, ""downturn"": 4, ""lower"": 16, ""down"": 4, ""below"": 2, ""obstacles"": 2, ""negative"": 2, ""weakened"": 2, ""decline"": 6, ""weakness"": 4, ""under"": 4, ""fall"": 2, ""low"": 4, ""weakening"": 2, ""decreased"": 2, ""fell"": 4, ""less"": 2, ""threat"": 2}"
