id,publish_date,llm_score,llm_label,llm_on_topic,llm_quote
1994-08-23_12,1994-08-23,0.8,strongly hawkish,True,"Unless there is now, in the post-election period, a determined return to a more stable overall financial climate in the country, the Reserve Bank will have little option other than to yield to the signals of the market forces and shift to a more restrictive monetary policy"
1995-02-14_323,1995-02-14,1.8,strongly hawkish,True,The increase in Bank rate from 12 to 13 per cent at the end of September last year signalled a new approach of a more restrictive policy that will be extended into 1995. A more restrictive monetary policy is needed to make sure that the current economic upswing will not be of the boom-bust nature of earlier times.
1995-02-20_322,1995-02-20,1.8,strongly hawkish,True,a more restrictive monetary policy shall now be pursued in order to prevent inflation from escalating in the period ahead
1995-03-10_321,1995-03-10,0.0,neutral,False,The abolition of the dual exchange rate system is the first step of the Government of National Unity in its pursuit of full financial liberalisation
1995-03-23_320,1995-03-23,1.5,strongly hawkish,True,the Reserve Bank is now geared to follow a relatively restrictive monetary policy for the rest of this year
1995-03-24_319,1995-03-24,0.1,neutral,False,"There is no alternative for sound monetary, fiscal and other macro-economic policies"
1995-05-23_318,1995-05-23,0.1,neutral,False,"These developments force countries to place more emphasis on the adjustment of their domestic economies in times of disequilibrium. The solution for a country that has lost its international competitiveness, does not lie in changing its exchange rate, but rather in correcting the deficiencies of its domestic economy."
1995-06-29_317,1995-06-29,1.8,strongly hawkish,True,Underlying inflationary pressures are undoubtedly increasing again in the South African economy...The Reserve Bank's tolerance with the untenable large increases in bank credit extension and in the money supply...can no longer be defended. Delaying corrective action now could risk the danger of more painful adjustment in future. The Bank has therefore decided to raise the Bank rate and related lending rates with immediate effect by one per cent.
1995-07-07_316,1995-07-07,0.0,neutral,False,"the programme of action in the short-term for the central banks of the region must clearly be concentrated on co-operation at the micro or institutional level, rather than at the more ambitious level of macro-economic integration"
1995-08-23_16,1995-08-23,1.5,strongly hawkish,True,"A growing concern about the unduly rapid expansion in the money supply, which facilitated current inflation and may easily fuel future inflation through the multiplier effect of successive rounds of further spending of the newly-created money, prompted the Reserve Bank to tighten monetary policy gradually in the course of the past nine months. The Bank rate was therefore raised on three occasions, from 12 per cent in September last year to 15 per cent as from 1995-06-30."
1995-08-28_315,1995-08-28,1.2,strongly hawkish,True,a rather restrictive monetary policy
1995-09-11_314,1995-09-11,1.7,strongly hawkish,True,"The Reserve Bank is at this stage firmly committed to a more restrictive monetary policy, and is determined to bring the rates of increase in both the money supply and in bank credit extension back into line with its consistent programme for overall financial stability. It is questionable whether measures taken so far will be sufficient to achieve this objective -- if not, more restrictive measures will have to be applied in the months ahead."
1995-09-13_313,1995-09-13,1.2,strongly hawkish,True,there are good reason for doing our utmost best to bring inflation down to an even lower level than the current rate of about 9 per cent per annum
1995-09-14_312,1995-09-14,1.2,strongly hawkish,True,the upturn in inflation and the sharp deterioration in the external current account suggested that the monetary stance had been insufficiently restrictive
1995-10-06_311,1995-10-06,1.8,strongly hawkish,True,monetary policy in South Africa will have to retain its present stance of a rather restrictive approach...these market forces will even have to be reinforced by deliberate restrictive monetary policy actions
1995-10-12_310,1995-10-12,0.3,leaning hawkish,True,the inflows of capital contributed to an unduly large increase in the domestic money supply which required difficult neutralising monetary policy actions in order to prevent the re-emergence of undesirable new underlying inflationary pressures
