publish_date,title,speaker_guess,text_source,henry_index,henry_hawkish_count,henry_dovish_count,henry_total_words,henry_hawkish_hits,henry_dovish_hits
1994-08-23,Governor's Address (74th) - 1994-08-23,,html,0.9344,380,138,14015,"{""growth"": 40, ""growing"": 8, ""expanded"": 2, ""increase"": 16, ""higher"": 12, ""most"": 14, ""good"": 4, ""progress"": 4, ""leading"": 6, ""up"": 12, ""opportunities"": 4, ""more"": 60, ""expand"": 4, ""success"": 4, ""successful"": 6, ""strong"": 2, ""expansion"": 8, ""increased"": 20, ""improved"": 6, ""increases"": 18, ""rise"": 6, ""above"": 4, ""improve"": 8, ""improvement"": 12, ""rising"": 20, ""increasing"": 12, ""exceeded"": 2, ""high"": 6, ""achieve"": 4, ""exceed"": 4, ""opportunity"": 2, ""record"": 2, ""rose"": 4, ""larger"": 2, ""succeeded"": 2, ""encouraging"": 4, ""better"": 8, ""achievement"": 4, ""achieving"": 4, ""improvements"": 2, ""greater"": 12, ""encouraged"": 2, ""certain"": 2, ""succeed"": 2}","{""challenge"": 6, ""low"": 14, ""negative"": 2, ""declined"": 6, ""decline"": 8, ""decrease"": 4, ""smaller"": 2, ""less"": 22, ""risk"": 18, ""fall"": 6, ""declining"": 4, ""lower"": 2, ""least"": 4, ""depressed"": 4, ""difficult"": 4, ""declines"": 2, ""lowest"": 4, ""worsen"": 2, ""fail"": 2, ""under"": 4, ""obstacle"": 4, ""risks"": 14}"
1995-02-14,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 18th Annual Investment Conference of Frankel Pollak Vinderine Inc, Johannesburg.",Chris Stals,html,1.0815,208,62,7452,"{""growth"": 18, ""certain"": 6, ""more"": 64, ""increases"": 8, ""higher"": 6, ""achieve"": 4, ""most"": 6, ""increased"": 10, ""improve"": 6, ""rise"": 4, ""rises"": 2, ""larger"": 2, ""increase"": 26, ""rising"": 6, ""expanding"": 2, ""achievements"": 2, ""expansion"": 2, ""rose"": 8, ""up"": 6, ""encouraging"": 4, ""growing"": 2, ""improvements"": 2, ""good"": 2, ""progress"": 2, ""exceed"": 4, ""increasing"": 2, ""achieved"": 2}","{""difficult"": 2, ""decline"": 10, ""weak"": 2, ""down"": 2, ""under"": 6, ""risky"": 2, ""lower"": 6, ""fell"": 2, ""less"": 2, ""declined"": 10, ""decreased"": 2, ""low"": 8, ""challenge"": 2, ""least"": 2, ""threat"": 2, ""weakness"": 2}"
1995-02-20,"STATEMENT BY DR C.L. STALS, GOVERNOR OF THE SOUTH AFRICAN RESERVE BANK",,html,1.2889,222,48,7630,"{""more"": 50, ""encouraging"": 2, ""expansion"": 8, ""growth"": 32, ""increase"": 30, ""increased"": 20, ""exceed"": 4, ""exceeded"": 8, ""rose"": 10, ""increasing"": 2, ""up"": 4, ""opportunity"": 4, ""expand"": 2, ""high"": 4, ""increases"": 6, ""most"": 2, ""rises"": 2, ""higher"": 6, ""expanded"": 2, ""rising"": 6, ""achievement"": 2, ""strengthening"": 2, ""above"": 2, ""improve"": 2, ""certain"": 4, ""achieve"": 4, ""achieved"": 2}","{""less"": 12, ""declined"": 2, ""risky"": 2, ""low"": 8, ""below"": 6, ""lower"": 2, ""least"": 6, ""under"": 4, ""penalty"": 4, ""challenges"": 2}"
1995-03-10,"STATEMENT ISSUED BY MR C.F. LIEBENBERG, MINISTER OF FINANCE, ON THE ABOLITION OF THE FINANCIAL RAND SYSTEM.",,html,0.6667,12,6,2293,"{""more"": 4, ""exceeded"": 2, ""improved"": 2, ""up"": 2, ""growth"": 2}","{""declined"": 2, ""below"": 2, ""obstacle"": 2}"
1995-03-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Meeting of the Enterprise Investment Forum, Cape Town",Chris Stals,html,1.0164,92,30,4848,"{""growth"": 8, ""achieve"": 6, ""more"": 24, ""improve"": 2, ""high"": 14, ""increasing"": 4, ""increase"": 4, ""growing"": 2, ""rising"": 4, ""increases"": 4, ""rises"": 2, ""rise"": 4, ""good"": 2, ""success"": 2, ""increased"": 6, ""rose"": 2, ""up"": 2}","{""falls"": 4, ""declines"": 2, ""low"": 10, ""less"": 2, ""difficult"": 4, ""least"": 4, ""decline"": 2, ""fall"": 2}"
1995-03-24,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference of The South African Issuers and Investors Forum, Johannesburg",Chris Stals,html,0.5789,98,54,5350,"{""better"": 4, ""opportunities"": 4, ""certain"": 2, ""up"": 14, ""greater"": 14, ""increases"": 2, ""growth"": 12, ""increased"": 2, ""high"": 6, ""increase"": 4, ""rise"": 2, ""exceed"": 2, ""opportunity"": 2, ""increasing"": 2, ""more"": 8, ""higher"": 2, ""larger"": 2, ""leading"": 2, ""most"": 2, ""growing"": 2, ""above"": 2, ""successful"": 2, ""improving"": 2, ""achieved"": 2}","{""risk"": 24, ""risks"": 8, ""under"": 4, ""declined"": 2, ""low"": 6, ""less"": 4, ""difficult"": 4, ""challenges"": 2}"
1995-05-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of The Institute of Directors in Southern Africa, Cape Town",Chris Stals,html,0.807,80,34,5029,"{""growth"": 14, ""expand"": 2, ""more"": 24, ""succeeded"": 2, ""exceeded"": 2, ""most"": 2, ""rise"": 4, ""increased"": 6, ""rising"": 2, ""high"": 4, ""rose"": 2, ""higher"": 4, ""improvement"": 2, ""strength"": 2, ""successful"": 2, ""opportunities"": 2, ""growing"": 2, ""grow"": 2}","{""less"": 8, ""below"": 2, ""depressed"": 2, ""low"": 10, ""challenge"": 2, ""smaller"": 2, ""downturn"": 2, ""risks"": 2, ""down"": 2, ""least"": 2}"
1995-06-29,"Statement on monetary policy issued by Dr C.L. Stals, Governor of the South African Reserve Bank.",C.L. Stals,html,1.2727,54,12,1216,"{""increase"": 18, ""expansion"": 2, ""up"": 6, ""increased"": 8, ""rose"": 4, ""increasing"": 2, ""increases"": 4, ""growing"": 2, ""rising"": 2, ""improvement"": 2, ""growth"": 2, ""more"": 2}","{""down"": 4, ""low"": 2, ""declined"": 2, ""less"": 2, ""risk"": 2}"
1995-07-07,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual Award Dinner of the Botswana Institute of Bankers Gaborone",Chris Stals,html,1.2258,100,24,7796,"{""more"": 46, ""better"": 6, ""improvement"": 8, ""greater"": 8, ""opportunity"": 4, ""good"": 2, ""progress"": 4, ""expanding"": 2, ""achieve"": 4, ""expansion"": 2, ""up"": 2, ""higher"": 2, ""most"": 4, ""increasing"": 2, ""improve"": 2, ""success"": 2}","{""below"": 2, ""challenge"": 2, ""difficult"": 4, ""less"": 2, ""least"": 6, ""fall"": 2, ""risk"": 4, ""down"": 2}"
1995-08-23,Governor's Address (75th) - 1995-08-23,,html,1.2697,394,88,12955,"{""more"": 68, ""growth"": 36, ""increases"": 24, ""achieved"": 4, ""improvement"": 10, ""expansion"": 10, ""strong"": 6, ""certain"": 2, ""growing"": 12, ""certainty"": 2, ""better"": 8, ""expanded"": 2, ""good"": 6, ""expand"": 2, ""increased"": 16, ""high"": 20, ""rise"": 12, ""increase"": 38, ""rose"": 22, ""improved"": 6, ""most"": 2, ""increasing"": 4, ""up"": 16, ""rising"": 20, ""higher"": 8, ""record"": 2, ""encouraged"": 2, ""succeeded"": 4, ""greater"": 10, ""achievement"": 2, ""exceeds"": 2, ""improve"": 2, ""opportunities"": 2, ""expanding"": 4, ""progress"": 2, ""encouraging"": 2, ""successful"": 2, ""positive"": 2}","{""uncertainty"": 2, ""low"": 4, ""risk"": 2, ""challenge"": 6, ""declines"": 2, ""lower"": 10, ""below"": 4, ""fell"": 2, ""declining"": 4, ""weakened"": 2, ""decrease"": 2, ""under"": 4, ""less"": 14, ""decline"": 4, ""declined"": 4, ""down"": 2, ""risks"": 4, ""deteriorate"": 2, ""least"": 4, ""worse"": 2, ""difficult"": 4, ""challenges"": 4}"
